Expt,Key,Doc_count
1,0502,731
1,0503,491
1,0504,471
1,0505,447
1,0506,525
1,0507,719
1,0508,763
1,0509,632
1,0510,652
1,0511,717
1,0512,576
1,0513,441
1,0514,518
1,0515,642
1,0516,574
1,0517,651
1,0518,671
1,0519,656
1,0520,481
1,0521,619
1,0522,788
1,0523,657
1,0524,732
1,0525,669
1,0526,820
1,0527,542
1,0528,646
1,0529,751
1,0530,705
1,0531,828
2,0502,279368
2,0503,133855
2,0504,126825
2,0505,103618
2,0506,112526
2,0507,221498
2,0508,329896
2,0509,237292
2,0510,361178
2,0511,364559
2,0512,337975
2,0513,150604
2,0514,226699
2,0515,361633
2,0516,353638
2,0517,360280
2,0518,359394
2,0519,327526
2,0520,143885
2,0521,217876
2,0522,355026
2,0523,442566
2,0524,420524
2,0525,417250
2,0526,363671
2,0527,145436
2,0528,226377
2,0529,400589
2,0530,396564
2,0531,402117
3,0502,282846
3,0503,137180
3,0504,130194
3,0505,106601
3,0506,114944
3,0507,224699
3,0508,334438
3,0509,241144
3,0510,365406
3,0511,368584
3,0512,341769
3,0513,152997
3,0514,229540
3,0515,365717
3,0516,357499
3,0517,364449
3,0518,363543
3,0519,331420
3,0520,146196
3,0521,220703
3,0522,359250
3,0523,446895
3,0524,424939
3,0525,421404
3,0526,367792
3,0527,147879
3,0528,228991
3,0529,404211
3,0530,400430
3,0531,406516
4,0509,538031
4,0510,564173
4,0511,582700
4,0512,595964
4,0513,598579
4,0514,597961
4,0515,602735
4,0516,606055
4,0517,606893
4,0518,605881
4,0519,604357
4,0520,603344
4,0521,602239
4,0522,600406
4,0523,640300
4,0524,652291
4,0525,658700
4,0526,660134
4,0527,660536
4,0528,661649
4,0529,665418
4,0530,646443
4,0531,1285188
5,0509,801038
5,0510,800792
5,0511,1249208
5,0512,963184
5,0513,795664
5,0514,793970
5,0515,926681
5,0516,796506
5,0517,796269
5,0518,795572
5,0519,794151
5,0520,790643
5,0521,789052
5,0522,790372
5,0523,808127
5,0524,811852
5,0525,813739
5,0526,813544
5,0527,810993
5,0528,809762
5,0529,812223
5,0530,813743
5,0531,1629076
